Country,Name,lat,long,Unit,Type,Model,Net Capacity /MW,Gross_Capacity
United States,Arkansas Nuclear One,35.31027778,-93.23138889,1,PWR,B & W (DRY-Cont.),,846
United States,Arkansas Nuclear One,35.31027778,-93.23138889,2,PWR,CE (DRY),,930
United States,Beaver Valley,40.62333333,-80.43055556,"1
",PWR,WH 3-loop (DRY),,970
United States,Beaver Valley,40.62333333,-80.43055556,"2
",PWR,WH 3-loop (DRY),,920
United States,Braidwood,41.24361111,-88.22916667,,PWR,WH 4-loop (DRY),,"1,121"
United States,Browns Ferry,34.70388889,-87.11861111,1,BWR,BWR-4 (WET),,"1,310"
United States,Browns Ferry,34.70388889,-87.11861111,"2
",BWR,BWR-4 (WET),,"1,310"
United States,Browns Ferry,34.70388889,-87.11861111,"3
",BWR,BWR-4 (WET),,"1,310"
United States,Brunswick,33.95833333,-78.01027778,1,BWR,BWR-4 (WET),,938
United States,Brunswick,33.95833333,-78.01027778,2,BWR,BWR-4 (WET),,920
United States,Byron,42.07416667,-89.28194444,1,PWR,WH 4-loop (DRY),,"1,168"
United States,Byron,42.07416667,-89.28194444,2,PWR,WH 4-loop (DRY),,"1,168"
United States,Callaway,38.76166667,-91.78,1,PWR,WH 4-loop (DRY),,"1,300"
United States,Calvert Cliffs,38.43194444,-76.44222222,1,PWR,CE 2-loop (DRY),,873
United States,Calvert Cliffs,38.43194444,-76.44222222,2,PWR,CE 2-loop (DRY),,863
United States,Catawba,35.05166667,-81.07,1,PWR,WH 4-loop (ICECOND.),,"1,129"
United States,Catawba,35.05166667,-81.07,2,PWR,WH 4-loop (ICECOND.),,"1,129"
United States,Clinton,40.17222222,-88.835,1,BWR,BWR-6 (WET),,"1,043"
United States,Columbia,46.47111111,-119.3338889,1,BWR,BWR-5 (WET),,"1,170"
United States,Comanche Peak,32.29833333,-97.785,1,PWR,WH 4-loop (DRY),,"1,084"
United States,Comanche Peak,32.29833333,-97.785,2,PWR,WH 4-loop (DRY),,"1,124"
United States,Cooper,40.36194444,-95.64138889,1,BWR,BWR-4 (WET),,770
United States,Davis-Besse,41.59666667,-83.08638889,1,PWR,B & W (DRY),,965
United States,Diablo Canyon,35.21083333,-120.8561111,1,PWR,WH DRY,,"1,122"
United States,Diablo Canyon,35.21083333,-120.8561111,2,PWR,WH DRY,,"1,118"
United States,Donald C. Cook,41.97555556,-86.56527778,1,PWR,WH (ICECOND.),,"1,020"
United States,Donald C. Cook,41.97555556,-86.56527778,2,PWR,WH (ICECOND.),,"1,090"
